video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
000003,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and a dry road surface.,Daytime with partly cloudy skies and a wet road surface.,Early evening with clear skies and a dry road surface.,Daytime with clear skies but a road surface covered in light debris.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban area with roadside buildings and some parked vehicles.,suburban road with open fields and minimal roadside structures.,highway with multiple lanes and no visible parked vehicles.,"An urban area with buildings and parked cars, but primarily on one side of the road.",What is the configuration of the road shown in the video?,Road Configuration,A multi-lane road with at least two lanes in one direction and no physical median.,two-lane road with a physical median separating opposing traffic directions,multi-lane road with at least two lanes in each direction and a central divider,single-lane road with vehicles traveling in both directions without a median,What type of collision occurs between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hits the side of another.","rear-end collision, where one vehicle strikes the back of another while traveling in the same direction.","sideswipe collision, where the side of one car grazes the side of another as they travel parallel to each other.","head-on collision, where the front ends of two vehicles impact each other while moving toward one another.",What was the primary cause of this accident?,Accident Cause,The silver hatchback made an unsafe turn across a lane of traffic without yielding.,The silver hatchback failed to maintain a safe following distance while merging into traffic.,The driver of the silver hatchback was distracted by a mobile phone while turning.,"The silver hatchback attempted to turn left without signaling, causing the collision.",By which means could the collision be prevented?,Accident Prevention,The silver car wait for the video car to pass before starting the maneuver.,The silver car should accelerate quickly to avoid the video car.,The video car could have turned left earlier to prevent the collision.,The silver car should have signaled before starting the maneuver.
000018,"Based on the video footage, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a dry road surface.,Daytime with clear skies and a wet road surface.,Early morning with foggy conditions and dry pavement.,Late afternoon with overcast skies and light rain on the road.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban main road.,residential street with low traffic volume and parked cars along both sides.,two-lane rural road with minimal infrastructure and open surroundings.,An urban arterial road with tram tracks and moderate traffic flow.,What is a distinct feature of the road's layout where the accident occurs?,Road Configuration,The road is straight and incorporates tram tracks running along the center.,The road has tram tracks on the sides but is curved in the section where the accident occurs.,"The road features tram tracks running along the center, but it is a narrow two-lane street.","The road includes tram tracks and is straight, but the accident happens at a pedestrian crossing with traffic lights.",How can the collision shown in the video be most accurately classified?,Accident Type,A sideswipe collision caused by one vehicle improperly changing lanes.,rear-end collision caused by a vehicle failing to maintain a safe following distance.,T-bone collision resulting from a vehicle running a red light at an intersection.,sideswipe collision caused by one vehicle drifting into another’s lane due to road conditions.,What was the primary and direct cause of the collision?,Accident Cause,The dark car executed a sudden and unsignaled lane change into the POV car's lane.,"The dark car accelerated rapidly in the same lane, causing the POV car to brake suddenly.",The POV car failed to maintain a safe following distance behind the vehicle ahead.,"The dark car changed lanes after signaling, but did not check for surrounding traffic.",Which action would have been the most effective measure to prevent this accident?,Accident Prevention,"The black car should properly check their mirrors and blind spot, and wait for the video car to pass before moving over.",The black car should have accelerated quickly to avoid the tram approaching from the front.,The video car should have signaled earlier to indicate its intention to change lanes.,The black car should have checked only the side mirror and moved over immediately after seeing the video car.
000023,What are the weather and road surface conditions at the time of the incident?,Weather & Light,It is daytime with cloudy skies and a dry road surface.,It is daytime with overcast skies and a wet road surface.,It is early morning with foggy conditions and a dry road surface.,It is daytime with cloudy skies and a partially wet road surface.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway with moderate traffic, including passenger cars and a large truck.","multi-lane urban road with heavy traffic, including several buses and motorcycles","two-lane highway with light traffic, primarily consisting of passenger cars",busy intersection with multiple lanes and vehicles turning in various directions,"Based on the video, what is the configuration of the road where the accident happens?",Road Configuration,"A straight, multi-lane, one-way road with white dashed lines separating the lanes.","curved, multi-lane road with solid white lines separating the lanes and a median barrier on one side.","straight, two-lane road with bidirectional traffic and no lane markings visible.","straight, multi-lane road with dashed yellow lines separating the lanes and vehicles traveling in both directions.",What type of collision occurred?,Accident Type,A sideswipe collision resulting from an improper lane change.,rear-end collision caused by sudden braking in heavy traffic.,T-bone collision resulting from a vehicle turning left into the path of oncoming traffic.,sideswipe collision due to a vehicle drifting into the adjacent lane without signaling.,,,,,,,By which means could the collision be prevented?,Accident Prevention,"The black car check their mirrors and blind spot, signaling their intention, and then changing lanes gradually and safely.",The black car could have avoided the collision by accelerating quickly to close the gap with the truck and merging abruptly into the right lane.,The driver of the red car should have slowed down earlier and signaled before changing lanes to prevent any sudden movements.,"The black car should have checked their mirrors and blind spot, but only needed to signal after beginning the lane change to ensure safety."
000031,"Based on the video, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"Daytime, overcast, with wet roads and some snow on the roadside.","Daytime, cloudy, with dry roads and no visible snow on the roadside.","Early morning, foggy, with wet roads and patches of ice on the pavement.","Daytime, sunny, with partially cleared roads and some snow remaining along the curbs.",In what type of traffic environment does the collision occur?,Traffic Environment,On a multi-lane urban main road surrounded by high-rise buildings.,On a two-lane residential street with low-rise apartment buildings,At a busy intersection in a downtown commercial district with traffic lights,On a multi-lane highway surrounded by high-rise buildings and snow-covered shoulders,What specific road feature is the gold minivan maneuvering from just before the crash?,Road Configuration,An opening in the central median strip designed for U-turns or left turns.,dedicated left-turn lane marked by road paint and signage,pedestrian crossing area with a crosswalk sign and painted markings,gap in the curb designed for vehicles to enter or exit a parking zone,"Which of the following best describes the type of collision that occurs?""",Accident Type,"A rear-end collision, where the POV car hit the back of the white minivan.","side-swipe collision, where the POV car scraped the side of the white minivan as it changed lanes.","T-bone collision, where the POV car struck the side of the white minivan at a perpendicular angle.","rear-end collision, where the white minivan hit the back of the POV car after stopping suddenly.",What is the primary cause of this accident?,Accident Cause,"The white minivan made a sudden stop, making it impossible for the POV car's driver to react.","The silver minivan changed lanes abruptly, forcing the POV car to brake suddenly.","pedestrian stepped into the road, causing the white minivan to stop unexpectedly.","The POV car was traveling too fast for the road conditions, leading to loss of control.",What crucial action would have most likely prevented this collision?,Accident Prevention,The minivan stops mildly with sufficient observation,The minivan accelerates quickly to avoid the cross-traffic,The driver of the silver car maintains a steady speed without braking,The minivan turns left sharply to yield to oncoming vehicles
000033,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.","It is a cloudy day with diffused lighting, reducing glare but limiting visibility.","The weather is clear but the sun is low on the horizon, causing partial glare and shadows.","There is light haze in the air, and the sunlight is bright but not directly affecting driver visibility.",Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,multi-lane urban road with moderate traffic and visible city buildings in the background.,busy city street with frequent intersections and pedestrian crossings.,"An elevated highway with multiple lanes, but primarily featuring light traffic and no surrounding urban infrastructure.",What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.",multi-lane highway with traffic flowing in opposite directions separated by a median,two-lane road with vehicles traveling in both directions without a physical divider,multi-lane road with one-way traffic but including a dedicated turning lane for left turns,What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,rear-end collision occurs when the dark sedan strikes the back of the white sedan while following too closely.,T-bone collision happens as the dark sedan crosses into the path of the white sedan at a right angle during lane merging.,"sideswipe collision takes place between two vehicles, but only involves a single lane change with no additional cars involved.",What was the primary cause of this accident?,Accident Cause,"The sudden stop of the front car resulted in the dodge of the white car, thw white car hit with another car on side when avoiding","The white car swerved to avoid a pedestrian crossing the road, causing it to collide with the vehicle on its side","The front car accelerated suddenly, leading the white car to brake hard and lose control, resulting in a side collision","The white car failed to maintain a safe distance from the car ahead, causing it to hit the vehicle in front before colliding with another car on the side",What critical action could have most effectively prevented this collision?,Accident Prevention,The driver of the light-color car ensures the target lane is clear by checking mirrors and blind spots before initiating the lane change.,The driver of the dark-color car maintains a safe following distance to avoid sudden braking.,The driver of the light-color car signals before changing lanes but does not check blind spots.,The driver of the light-color car accelerates quickly into the target lane to merge ahead of other vehicles.
000039,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime with an overcast sky and good visibility, with snow accumulated on the roadside.","Daytime with a clear sky and bright sunlight, with no visible snow on the road.","Early morning with foggy conditions and reduced visibility, despite some snow on the roadside.","Nighttime with artificial lighting and light snowfall, but no significant accumulation on the ground.",How would you describe the traffic environment where the collision occurs?,Traffic Environment,An urban multi-lane main road with commercial and residential buildings alongside.,suburban two-lane road with residential houses and small shops on both sides.,busy highway with multiple lanes and commercial billboards along the median.,"An urban street with mixed traffic, featuring apartment buildings and parked cars but no visible commercial activity.",,,,,,,Which of the following best describes the type of collision that occurs in the video?,Accident Type,A rear-end collision of POV car and a slowingpulling-out vehicle.,side-swipe collision between the POV car and a vehicle merging from the right lane.,T-bone collision involving the POV car and a crossing vehicle at an intersection.,rear-end collision of the POV car with a stationary vehicle that was parked on the side of the road.,What was the primary cause of this accident?,Accident Cause,The driver of the silver SUV failed to yield the right-of-way when entering the travel lane from the roadside.,The driver of the silver SUV was distracted by a mobile phone while merging into traffic.,The vehicle in the travel lane failed to maintain a safe following distance.,"The silver SUV entered the travel lane too quickly, causing the other driver to brake suddenly.",What crucial action should have taken to prevent this collision?,Accident Prevention,Thoroughly checked mirrors and blind spots for approaching vehicles and yielded the right-of-way until the lane was clear.,Used turn signals in advance to indicate the lane change intention and maintained a safe following distance,Checked only the side mirrors without verifying blind spots and proceeded with the lane change when no vehicles were visible,Increased speed slightly to merge into the lane quickly before other vehicles could react
000048,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime, with overcast skies, active or recent snowfall, and a wet, snow-covered road.","Daytime, with clear skies, light snow on the ground, and dry road conditions","Early morning, with foggy visibility, no active precipitation, and icy road surfaces","Daytime, with overcast skies, recent snowfall, and a dry, partially cleared road",How would you describe the traffic environment where the collision occurs?,Traffic Environment,"An urban street with vehicles parked on both sides, significantly narrowing the travel lane.",narrow residential street with parked cars on one side and a sidewalk on the other.,busy urban intersection with multiple lanes and traffic signals controlling vehicle flow.,"An urban street with vehicles parked on both sides, but with sufficient clearance for two-way traffic.",What is the configuration of the road at the accident location?,Road Configuration,"A two-way street, likely with one travel lane in each direction, where markings are obscured by snow.","one-way street with multiple lanes, where road markings are visible despite light snowfall.","two-lane road with a center divider, where snow has partially covered the lane lines.","two-way street with one lane in each direction, but the markings are clear and not obscured by snow.",What was the primary and direct cause of this collision?,Accident Type,A rear-end collision occurs when a parked vehicle pulls out unsafely into the path of a moving vehicle.,"vehicle pulled out from a parking spot but the moving car failed to yield, resulting in a collision.",The collision occurred when a driver turned left across traffic without signaling properly.,"parked vehicle began to move forward slowly, and the following car braked too late, causing contact.",What was the primary and direct cause of this collision?,Accident Cause,The driver of the white SUV failed to yield the right-of-way when moving from a parked position into the traffic lane.,The driver of the white SUV was distracted by a mobile phone while merging into traffic.,The vehicle in the opposite lane failed to maintain a safe distance from the parked cars.,The driver of the white SUV began moving before checking for oncoming traffic.,What critical action would have most likely prevented this accident?,Accident Prevention,"The white car waits for the ego-vehicle to pass before attempting to enter the lane.""",The white car accelerates quickly to merge into the lane before the ego-vehicle arrives.,The ego-vehicle slows down abruptly to allow the white car to enter the lane safely.,The white car checks its blind spot but fails to yield to the oncoming traffic in the lane.
000059,"Based on the video, which option best describes the weather and road surface conditions?",Weather & Light,"Based on the video, which option best describes the weather and road surface conditions?",The weather is clear with light snowfall and the road surface is partially icy.,"The sky is overcast with no precipitation, and the road is wet from recent rain.","The weather is cold and sunny, but the road surface is dry and free of snow.",What best describes the traffic environment where the collision takes place?,Traffic Environment,An urban or suburban road with roadside parking and a marked pedestrian crosswalk.,residential street with snow-covered sidewalks and no visible crosswalk markings.,busy highway intersection with multiple lanes and traffic signals.,"An urban road with parked cars on both sides and a pedestrian crossing sign, but no marked crosswalk.",What is the configuration of the road shown in the video?,Road Configuration,A two-way road with one lane in each direction.,one-way road with traffic moving in a single direction.,two-way road with two lanes in each direction.,two-way road with one lane in each direction and a center turning lane.,What type of accident occurs in the video?,Accident Type,A rear-end collision.,sideswipe collision between two vehicles in the same lane.,T-bone collision at a perpendicular intersection.,vehicle skidding on ice and hitting another car from behind.,What was the primary cause of this rear-end collision?,Accident Cause,The camera vehicle failed to maintain a safe following distance for the icy road conditions.,The lead vehicle suddenly braked without warning due to a pedestrian crossing the road.,The camera vehicle was traveling at an excessive speed for the snowy road conditions.,The collision occurred because the lead vehicle stopped abruptly while turning right into a parking space.,What is the most effective action could have taken to prevent this crash?,Accident Prevention,"The POV car's driver increases the following distance from the vehicle ahead, considering the icy road and upcoming crosswalk.",The POV car's driver applies the brakes more gently to avoid skidding on the icy road.,The driver of the vehicle ahead yields to pedestrians at the crosswalk before slowing down.,The POV car's driver maintains a safe speed but fails to adjust for reduced traction on the icy surface.
000066,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Clear sky with bright, sunny daylight",Overcast sky with diffused daylight and light cloud cover,Partly cloudy conditions with intermittent sunlight and moderate visibility,Bright daylight but with patches of fog near the roadside and reduced contrast,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban main road with multiple lanes, large buildings, and pedestrian crosswalks.","suburban residential street with low-speed limits, single-family homes, and minimal pedestrian activity.","busy intersection in a downtown area with traffic signals, commercial buildings, and frequent vehicle crossings.","An urban road with multiple lanes and large buildings, but without visible crosswalks or pedestrian infrastructure.",What is the configuration of the road where the incident took place?,Road Configuration,A signalized cross-intersection on a multi-lane road divided by a median barrier.Few vehicles were on the road.,"wide urban street with multiple lanes and no median barrier, featuring traffic signals at the intersection.","two-way road with a central divider and pedestrian crossings, but without signalized traffic lights.","multi-lane road divided by a median barrier with traffic signals, but heavy vehicle presence during the incident.",What type of collision occurred between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, causing the ego-vehicle to roll over.","rear-end collision occurred, causing the ego-vehicle to lose control and roll over.","side-swipe collision happened between the two vehicles, but no rollover was observed.","The ego-vehicle collided with a stationary object on the side of the road, leading to a rollover.",What was the primary cause of this accident?,Accident Cause,The other vehicle entered the intersection from the left and failed to yield the right-of-way.,The vehicle on the right suddenly accelerated into the intersection without signaling.,The driver failed to maintain a safe following distance while approaching the intersection.,The other vehicle entered the intersection from the left but had the right-of-way due to traffic signals.,Which action would have been most effective in preventing this collision?,Accident Prevention,The car rushed from the left side obeies the traffic signal or stop sign and yielding to traffic with the right-of-way.,The car should have slowed down before the intersection to allow time for pedestrians to cross safely.,"The driver failed to maintain a safe distance from the vehicle ahead, leading to a rear-end collision.",The vehicle on the left should have yielded to the oncoming traffic but instead proceeded without checking for right-of-way.
000074,"Based on the visual evidence, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"A clear day with good visibility, but there is significant snow on the roadsides and the pavement is wet/slushy.",sunny day with dry roads and no visible snow accumulation on the sides of the road.,"cloudy day with light rain falling, resulting in wet pavement and reduced visibility.","clear day with good visibility, but the road is completely covered in ice and snow, making driving hazardous.",Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,"A signalized suburban intersection with multiple lanes, surrounded by buildings and snowbanks.","multi-lane urban intersection with traffic lights and snow-covered sidewalks, but no visible buildings in the immediate vicinity.","rural two-lane road with minimal traffic signals and open fields on both sides, featuring light snowfall.","signalized intersection in a suburban area with multiple lanes and snowbanks, but without surrounding buildings or commercial structures.",What is the configuration of the roadway where the accident occurs?,Road Configuration,"A four-way intersection controlled by traffic lights, with plenty vehcles passing though",T-intersection with stop signs and moderate traffic flow,roundabout with multiple entry points and vehicles circulating slowly,"two-way intersection controlled by traffic lights, but with minimal vehicle presence",How would you classify the type of collision shown in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the bus strikes the side of the turning sedan.","rear-end collision, where the bus strikes the sedan from behind as it stops at the intersection.","head-on collision, where the front of the bus and the front of the sedan collide directly while traveling in opposite directions.","side-impact collision, where the side of the bus strikes the side of the sedan during a left turn.",What was the primary and most direct cause of this accident?,Accident Cause,The bus driver failed to yield the right-of-way to the oncoming straight-travelling sedan,The sedan driver failed to yield the right-of-way to the bus turning left,The bus driver did not notice the oncoming sedan due to poor visibility from snow accumulation,"The sedan was traveling at an excessive speed, contributing to the collision",Which specific action by the sedan driver would have most effectively prevented this collision?,Accident Prevention,The bus waits outside until the oncoming sedan had completely passed before getting into the intersection,The sedan driver could have avoided the collision by slowing down before entering the intersection,The bus should have yielded to the sedan as it was already in the intersection,The sedan driver should have turned left earlier to avoid blocking the bus's path
