video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1
000003,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and a dry road surface.,Daytime with partly cloudy skies and a wet road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban area with roadside buildings and some parked vehicles.,suburban road with open fields and minimal roadside structures.,What is the configuration of the road shown in the video?,Road Configuration,A multi-lane road with at least two lanes in one direction and no physical median.,two-lane road with a physical median separating opposing traffic flows,What type of collision occurs between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hits the side of another.","rear-end collision, where one vehicle strikes the back of another from behind.",What was the primary cause of this accident?,Accident Cause,The silver hatchback made an unsafe turn across a lane of traffic without yielding.,The silver hatchback failed to maintain a safe distance while following another vehicle.,By which means could the collision be prevented?,Accident Prevention,The silver car wait for the video car to pass before starting the maneuver.,The video car could have slowed down before entering the intersection to avoid the collision.
000018,"Based on the video footage, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a dry road surface.,Daytime with clear skies and a wet road surface.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban main road.,busy urban street with tram tracks and moderate traffic.,What is a distinct feature of the road's layout where the accident occurs?,Road Configuration,The road is straight and incorporates tram tracks running along the center.,The road is curved with tram tracks positioned along the sides.,How can the collision shown in the video be most accurately classified?,Accident Type,A sideswipe collision caused by one vehicle improperly changing lanes.,rear-end collision caused by a vehicle failing to maintain a safe following distance.,What was the primary and direct cause of the collision?,Accident Cause,The dark car executed a sudden and unsignaled lane change into the POV car's lane.,The POV car failed to maintain a safe following distance behind the vehicle ahead.,Which action would have been the most effective measure to prevent this accident?,Accident Prevention,"The black car should properly check their mirrors and blind spot, and wait for the video car to pass before moving over.",The video car should have maintained a greater following distance to allow more reaction time when the black car began to move.
000023,What are the weather and road surface conditions at the time of the incident?,Weather & Light,It is daytime with cloudy skies and a dry road surface.,It is daytime with overcast skies and a wet road surface.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway with moderate traffic, including passenger cars and a large truck.","busy urban road with multiple lanes and heavy traffic, including cars and a large truck.","Based on the video, what is the configuration of the road where the accident happens?",Road Configuration,"A straight, multi-lane, one-way road with white dashed lines separating the lanes.","curved, two-lane road with solid yellow lines dividing opposing traffic directions.",What type of collision occurred?,Accident Type,A sideswipe collision resulting from an improper lane change.,rear-end collision caused by a sudden stop in traffic flow.,,,,,By which means could the collision be prevented?,Accident Prevention,"The black car check their mirrors and blind spot, signaling their intention, and then changing lanes gradually and safely.",The red car could have slowed down earlier and maintained a safe distance from the vehicle ahead to avoid sudden braking.
000031,"Based on the video, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"Daytime, overcast, with wet roads and some snow on the roadside.","Daytime, cloudy, with dry roads and no visible snow on the roadside.",In what type of traffic environment does the collision occur?,Traffic Environment,On a multi-lane urban main road surrounded by high-rise buildings.,On a two-lane residential street with low-rise buildings and minimal traffic.,What specific road feature is the gold minivan maneuvering from just before the crash?,Road Configuration,An opening in the central median strip designed for U-turns or left turns.,designated pedestrian crossing area marked by a crosswalk sign and painted markings.,"Which of the following best describes the type of collision that occurs?""",Accident Type,"A rear-end collision, where the POV car hit the back of the white minivan.","sideswipe collision, where the POV car made contact with the side of the white minivan as it changed lanes.",What is the primary cause of this accident?,Accident Cause,"The white minivan made a sudden stop, making it impossible for the POV car's driver to react.","The silver minivan suddenly changed lanes without signaling, causing the POV car to brake sharply.",What crucial action would have most likely prevented this collision?,Accident Prevention,The minivan stops mildly with sufficient observation,The minivan accelerates quickly to maintain lane position
000033,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.","It is a hazy, overcast day with diffused lighting and no direct sunlight affecting visibility.",Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,multi-lane urban road with moderate traffic and visible city buildings in the background.,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.","multi-lane, two-way highway with traffic flowing in opposite directions.",What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,rear-end collision where the dark sedan strikes the back of the white sedan while following closely behind.,What was the primary cause of this accident?,Accident Cause,"The sudden stop of the front car resulted in the dodge of the white car, thw white car hit with another car on side when avoiding","The white car swerved to avoid a pedestrian crossing the road, causing it to collide with the vehicle on its side",What critical action could have most effectively prevented this collision?,Accident Prevention,The driver of the light-color car ensures the target lane is clear by checking mirrors and blind spots before initiating the lane change.,The driver of the dark-color car maintains a safe following distance and avoids sudden braking to prevent rear-end contact.
000039,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime with an overcast sky and good visibility, with snow accumulated on the roadside.","Daytime with a clear sky and moderate visibility, with no snow present on the roadside.",How would you describe the traffic environment where the collision occurs?,Traffic Environment,An urban multi-lane main road with commercial and residential buildings alongside.,suburban two-lane road with low-rise residential buildings and minimal commercial activity.,,,,,Which of the following best describes the type of collision that occurs in the video?,Accident Type,A rear-end collision of POV car and a slowingpulling-out vehicle.,sideswipe collision between the POV car and a vehicle merging from the right.,What was the primary cause of this accident?,Accident Cause,The driver of the silver SUV failed to yield the right-of-way when entering the travel lane from the roadside.,"The driver of the silver SUV was distracted by a pedestrian crossing the street, causing them to misjudge the timing of their lane entry.",What crucial action should have taken to prevent this collision?,Accident Prevention,Thoroughly checked mirrors and blind spots for approaching vehicles and yielded the right-of-way until the lane was clear.,Accelerated quickly to merge into the lane before other vehicles could react.
000048,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime, with overcast skies, active or recent snowfall, and a wet, snow-covered road.","Daytime, with clear skies, light rain, and a dry road with scattered patches of snow.",How would you describe the traffic environment where the collision occurs?,Traffic Environment,"An urban street with vehicles parked on both sides, significantly narrowing the travel lane.","snowy urban street with vehicles parked on one side and a wide, clear travel lane.",What is the configuration of the road at the accident location?,Road Configuration,"A two-way street, likely with one travel lane in each direction, where markings are obscured by snow.","narrow one-way street with parked cars on both sides, where snow covers the curb and sidewalk.",What was the primary and direct cause of this collision?,Accident Type,A rear-end collision occurs when a parked vehicle pulls out unsafely into the path of a moving vehicle.,"vehicle failed to yield while merging into traffic from a side street, causing a collision with an oncoming car.",What was the primary and direct cause of this collision?,Accident Cause,The driver of the white SUV failed to yield the right-of-way when moving from a parked position into the traffic lane.,"The driver of the white SUV was distracted by a pedestrian crossing the street, leading to a delayed reaction.",What critical action would have most likely prevented this accident?,Accident Prevention,"The white car waits for the ego-vehicle to pass before attempting to enter the lane.""",The white car accelerates quickly to merge into the lane before the ego-vehicle approaches.
000059,"Based on the video, which option best describes the weather and road surface conditions?",Weather & Light,"Based on the video, which option best describes the weather and road surface conditions?","The weather is clear and sunny, with dry road surfaces and no visible snow or ice.",What best describes the traffic environment where the collision takes place?,Traffic Environment,An urban or suburban road with roadside parking and a marked pedestrian crosswalk.,residential street with snow-covered shoulders and no visible crosswalk markings.,What is the configuration of the road shown in the video?,Road Configuration,A two-way road with one lane in each direction.,one-way road with multiple lanes for traffic flowing in a single direction.,What type of accident occurs in the video?,Accident Type,A rear-end collision.,sideswipe collision between two vehicles in the right lane.,What was the primary cause of this rear-end collision?,Accident Cause,The camera vehicle failed to maintain a safe following distance for the icy road conditions.,The vehicle ahead suddenly braked without warning due to a pedestrian crossing the road.,What is the most effective action could have taken to prevent this crash?,Accident Prevention,"The POV car's driver increases the following distance from the vehicle ahead, considering the icy road and upcoming crosswalk.",The driver of the vehicle ahead should have slowed down earlier to allow for safer braking on the icy road.
000066,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Clear sky with bright, sunny daylight",Partly cloudy with moderate daylight and shadows from buildings,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban main road with multiple lanes, large buildings, and pedestrian crosswalks.","suburban road with low traffic, single-family homes, and minimal pedestrian activity.",What is the configuration of the road where the incident took place?,Road Configuration,A signalized cross-intersection on a multi-lane road divided by a median barrier.Few vehicles were on the road.,"wide, multi-lane road without traffic signals or median barriers, with moderate vehicle presence and pedestrians near the intersection.",What type of collision occurred between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, causing the ego-vehicle to roll over.","rear-end collision, causing the ego-vehicle to lose control and roll over.",What was the primary cause of this accident?,Accident Cause,The other vehicle entered the intersection from the left and failed to yield the right-of-way.,"The vehicle was traveling at an excessive speed, causing a loss of control during the turn.",Which action would have been most effective in preventing this collision?,Accident Prevention,The car rushed from the left side obeies the traffic signal or stop sign and yielding to traffic with the right-of-way.,The driver maintained a safe speed and kept a proper following distance from the vehicle ahead.
000074,"Based on the visual evidence, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"A clear day with good visibility, but there is significant snow on the roadsides and the pavement is wet/slushy.","cloudy day with reduced visibility, and the road surface is icy with snow piled along the sides.",Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,"A signalized suburban intersection with multiple lanes, surrounded by buildings and snowbanks.","multi-lane urban intersection with traffic lights, surrounded by snowbanks and commercial buildings.",What is the configuration of the roadway where the accident occurs?,Road Configuration,"A four-way intersection controlled by traffic lights, with plenty vehcles passing though","two-way intersection with stop signs, where vehicles are moving slowly due to winter conditions",How would you classify the type of collision shown in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the bus strikes the side of the turning sedan.","rear-end collision, where the bus strikes the sedan from behind as it moves forward through the intersection.",What was the primary and most direct cause of this accident?,Accident Cause,The bus driver failed to yield the right-of-way to the oncoming straight-travelling sedan,The sedan driver accelerated unexpectedly while approaching the intersection,Which specific action by the sedan driver would have most effectively prevented this collision?,Accident Prevention,The bus waits outside until the oncoming sedan had completely passed before getting into the intersection,The sedan driver could have avoided the collision by slowing down before entering the intersection and yielding to the bus.
