video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2
000003,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and a dry road surface.,Daytime with light cloud cover and a wet road surface.,Evening with clear skies and a dry road surface.,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban area with roadside buildings and some parked vehicles.,suburban road with wide lanes and minimal roadside structures.,highway intersection with multiple lanes and traffic signals.,What is the configuration of the road shown in the video?,Road Configuration,A multi-lane road with at least two lanes in one direction and no physical median.,two-lane road with a central divider separating opposing traffic flows,single-lane road with parking on both sides and no marked lanes,What type of collision occurs between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hits the side of another.","rear-end collision, where one vehicle strikes the back of another from behind.","sideswipe collision, where two vehicles moving in the same direction make lateral contact.",What was the primary cause of this accident?,Accident Cause,The silver hatchback made an unsafe turn across a lane of traffic without yielding.,The silver hatchback failed to maintain a safe following distance while merging into traffic.,The driver of the silver hatchback was distracted by a mobile device while navigating the intersection.,By which means could the collision be prevented?,Accident Prevention,The silver car wait for the video car to pass before starting the maneuver.,The silver car could have signaled earlier to alert the video car of its intent to turn.,The video car should have slowed down to allow the silver car to complete its maneuver safely.
000018,"Based on the video footage, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a dry road surface.,Daytime with clear skies and wet road surface due to recent rain.,Early evening with dim lighting and light fog reducing visibility.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban main road.,residential street with low traffic volume and parked cars along the sides.,two-lane road with a central divider and light pedestrian activity.,What is a distinct feature of the road's layout where the accident occurs?,Road Configuration,The road is straight and incorporates tram tracks running along the center.,The road features a central median separating opposing traffic flows.,The road includes tram tracks positioned along the sides of the roadway.,How can the collision shown in the video be most accurately classified?,Accident Type,A sideswipe collision caused by one vehicle improperly changing lanes.,rear-end collision caused by a vehicle failing to maintain a safe following distance.,T-bone collision resulting from a vehicle running a red light at an intersection.,What was the primary and direct cause of the collision?,Accident Cause,The dark car executed a sudden and unsignaled lane change into the POV car's lane.,The POV car failed to maintain a safe distance from the vehicle ahead.,The dark car attempted to merge into the adjacent lane but did not yield properly.,Which action would have been the most effective measure to prevent this accident?,Accident Prevention,"The black car should properly check their mirrors and blind spot, and wait for the video car to pass before moving over.",The video car should have maintained a greater following distance to allow more reaction time.,The black car should have signaled earlier to indicate their intention to change lanes.
000023,What are the weather and road surface conditions at the time of the incident?,Weather & Light,It is daytime with cloudy skies and a dry road surface.,It is daytime with overcast skies and a wet road surface.,It is early evening with cloudy skies and a dry road surface.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway with moderate traffic, including passenger cars and a large truck.",busy urban intersection with multiple vehicles turning and stopping at traffic signals.,two-lane rural road with light traffic consisting mainly of passenger cars and no commercial vehicles.,"Based on the video, what is the configuration of the road where the accident happens?",Road Configuration,"A straight, multi-lane, one-way road with white dashed lines separating the lanes.","curved, two-lane road with solid yellow lines separating opposing traffic directions.","straight, multi-lane road with a median divider and directional arrows painted on the surface.",What type of collision occurred?,Accident Type,A sideswipe collision resulting from an improper lane change.,rear-end collision caused by sudden braking in heavy traffic.,T-bone collision resulting from a vehicle failing to yield at an intersection.,,,,,,By which means could the collision be prevented?,Accident Prevention,"The black car check their mirrors and blind spot, signaling their intention, and then changing lanes gradually and safely.",The red car could have maintained a safe following distance and avoided sudden braking to prevent the collision.,The truck driver could have signaled earlier and adjusted speed to allow other vehicles to react appropriately.
000031,"Based on the video, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"Daytime, overcast, with wet roads and some snow on the roadside.","Daytime, cloudy, with dry roads and no visible snow on the roadside.","Early morning, foggy, with icy roads and snow covering the entire roadway.",In what type of traffic environment does the collision occur?,Traffic Environment,On a multi-lane urban main road surrounded by high-rise buildings.,On a two-lane residential street with low-rise apartment buildings.,At a busy intersection in a commercial district with traffic lights and pedestrian crossings.,What specific road feature is the gold minivan maneuvering from just before the crash?,Road Configuration,An opening in the central median strip designed for U-turns or left turns.,dedicated left-turn lane marked with a painted arrow on the road surface.,pedestrian crossing area located at the intersection with crosswalk markings.,"Which of the following best describes the type of collision that occurs?""",Accident Type,"A rear-end collision, where the POV car hit the back of the white minivan.","side-swipe collision, where the POV car made contact with the side of the white minivan as it changed lanes.","T-bone collision, where the POV car struck the side of the white minivan at a perpendicular angle.",What is the primary cause of this accident?,Accident Cause,"The white minivan made a sudden stop, making it impossible for the POV car's driver to react.","The silver minivan turned left without signaling, causing the POV car to collide with it.","pedestrian suddenly stepped into the road, forcing the white minivan to brake abruptly.",What crucial action would have most likely prevented this collision?,Accident Prevention,The minivan stops mildly with sufficient observation,The minivan accelerates quickly to maintain lane position,The driver of the silver car yields to oncoming traffic
000033,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.","It is a hazy day with low visibility due to atmospheric dust, and the sunlight is diffused without strong glare.","The weather is clear but overcast, with soft lighting conditions and no direct sunlight affecting visibility.",Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,multi-lane urban road with moderate traffic and visible intersections ahead.,busy city street with heavy congestion and frequent stops due to traffic signals.,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.",two-way road with vehicles traveling in opposite directions separated by a median barrier.,multi-lane highway with traffic flowing in both directions on the same roadway.,What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,rear-end collision where the dark sedan strikes the back of the white sedan due to sudden braking.,"T-bone collision involving multiple vehicles at an intersection, with the dark sedan hitting the side of the white sedan perpendicularly.",What was the primary cause of this accident?,Accident Cause,"The sudden stop of the front car resulted in the dodge of the white car, thw white car hit with another car on side when avoiding",The white car failed to maintain a safe distance and collided with the vehicle in front due to excessive speed.,sudden lane change by the black car caused the white car to swerve and hit the adjacent vehicle.,What critical action could have most effectively prevented this collision?,Accident Prevention,The driver of the light-color car ensures the target lane is clear by checking mirrors and blind spots before initiating the lane change.,The driver of the dark-color car maintains a safe following distance and avoids sudden braking.,The driver of the light-color car signals intention to change lanes well in advance of the maneuver.
000039,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime with an overcast sky and good visibility, with snow accumulated on the roadside.","Daytime with clear skies and bright sunlight, with no visible snow on the roadside.","Early morning with foggy conditions and reduced visibility, with patches of ice on the road surface.",How would you describe the traffic environment where the collision occurs?,Traffic Environment,An urban multi-lane main road with commercial and residential buildings alongside.,suburban road with low traffic and single-family homes on both sides,narrow residential street lined with parked cars and apartment buildings,,,,,,Which of the following best describes the type of collision that occurs in the video?,Accident Type,A rear-end collision of POV car and a slowingpulling-out vehicle.,side-impact collision between the POV car and a vehicle merging from the right lane.,head-on collision involving the POV car and an oncoming vehicle in the opposite lane.,What was the primary cause of this accident?,Accident Cause,The driver of the silver SUV failed to yield the right-of-way when entering the travel lane from the roadside.,The driver of the silver SUV was distracted by a mobile phone while merging into traffic.,"The vehicle in the travel lane suddenly slowed down without signaling, causing the collision.",What crucial action should have taken to prevent this collision?,Accident Prevention,Thoroughly checked mirrors and blind spots for approaching vehicles and yielded the right-of-way until the lane was clear.,Increased speed to merge quickly into the adjacent lane before other vehicles could react,Maintained a steady position in the current lane without signaling or checking surroundings for traffic
000048,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime, with overcast skies, active or recent snowfall, and a wet, snow-covered road.","Daytime, with clear skies, light snow on the ground, and dry road conditions.","Early morning, with heavy fog, no visible precipitation, and icy patches on the road.",How would you describe the traffic environment where the collision occurs?,Traffic Environment,"An urban street with vehicles parked on both sides, significantly narrowing the travel lane.",narrow residential road with snow-covered sidewalks and limited parking on one side.,busy urban intersection with multiple lanes and traffic signals controlling vehicle flow.,What is the configuration of the road at the accident location?,Road Configuration,"A two-way street, likely with one travel lane in each direction, where markings are obscured by snow.","one-way street with multiple lanes, where traffic flows in a single direction and road markings are clearly visible.","two-lane road with a center divider, where snow has partially covered the pavement but lane markings remain intact.",What was the primary and direct cause of this collision?,Accident Type,A rear-end collision occurs when a parked vehicle pulls out unsafely into the path of a moving vehicle.,"vehicle failed to yield while merging into traffic from a side street, causing a collision with an oncoming car.","driver lost control of their vehicle due to slippery road conditions, resulting in a collision with a parked car.",What was the primary and direct cause of this collision?,Accident Cause,The driver of the white SUV failed to yield the right-of-way when moving from a parked position into the traffic lane.,The driver of the white SUV was distracted by a mobile phone while merging into traffic.,"The vehicle in front suddenly slowed down without signaling, causing the collision.",What critical action would have most likely prevented this accident?,Accident Prevention,"The white car waits for the ego-vehicle to pass before attempting to enter the lane.""",The white car accelerates quickly to merge into the lane before the ego-vehicle approaches.,The ego-vehicle slows down abruptly to allow the white car to enter the lane safely.
000059,"Based on the video, which option best describes the weather and road surface conditions?",Weather & Light,"Based on the video, which option best describes the weather and road surface conditions?","The weather is clear with light snowfall, and the road surface is partially icy with patches of slush.","The sky is overcast, and the road is wet from recent rain, with no visible snow accumulation.",What best describes the traffic environment where the collision takes place?,Traffic Environment,An urban or suburban road with roadside parking and a marked pedestrian crosswalk.,residential street with snow-covered sidewalks and no visible pedestrian crossing signs.,highway intersection with multiple lanes and traffic signals controlling vehicle flow.,What is the configuration of the road shown in the video?,Road Configuration,A two-way road with one lane in each direction.,one-way road with multiple lanes in a single direction.,two-way road with two lanes in each direction.,What type of accident occurs in the video?,Accident Type,A rear-end collision.,side-swipe collision between two vehicles in the same lane.,vehicle losing control on a slippery road and spinning out.,What was the primary cause of this rear-end collision?,Accident Cause,The camera vehicle failed to maintain a safe following distance for the icy road conditions.,The lead vehicle suddenly braked without warning due to a pedestrian crossing the road.,The camera vehicle was distracted by a pedestrian walking near the roadside and failed to react in time.,What is the most effective action could have taken to prevent this crash?,Accident Prevention,"The POV car's driver increases the following distance from the vehicle ahead, considering the icy road and upcoming crosswalk.",The POV car's driver applies the brakes more gradually to avoid sudden deceleration on the icy road.,The driver of the vehicle ahead maintains a steady speed to prevent unexpected stops near the crosswalk.
000066,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Clear sky with bright, sunny daylight",Partly cloudy sky with moderate daylight,Overcast conditions with diffused lighting,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban main road with multiple lanes, large buildings, and pedestrian crosswalks.","suburban road with wide shoulders, low-rise buildings, and minimal pedestrian activity.","narrow city street with one-way traffic, parked cars along both sides, and a sidewalk crossing.",What is the configuration of the road where the incident took place?,Road Configuration,A signalized cross-intersection on a multi-lane road divided by a median barrier.Few vehicles were on the road.,"multi-lane road with a median barrier and traffic signals, but the intersection was uncontrolled and had heavy pedestrian activity.","wide urban road divided by a median, with no visible traffic signals at the intersection and moderate vehicle flow.",What type of collision occurred between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, causing the ego-vehicle to roll over.","rear-end collision, causing the ego-vehicle to lose control and veer off the road.",sideswipe collision between two vehicles traveling in the same direction.,What was the primary cause of this accident?,Accident Cause,The other vehicle entered the intersection from the left and failed to yield the right-of-way.,The driver failed to maintain a safe speed while approaching the intersection.,"pedestrian suddenly stepped into the roadway, causing the vehicle to swerve.",Which action would have been most effective in preventing this collision?,Accident Prevention,The car rushed from the left side obeies the traffic signal or stop sign and yielding to traffic with the right-of-way.,The driver maintained a safe speed and kept a proper following distance from the vehicle ahead.,The car stopped at the intersection and waited for a clear gap in traffic before proceeding.
000074,"Based on the visual evidence, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"A clear day with good visibility, but there is significant snow on the roadsides and the pavement is wet/slushy.","cloudy day with reduced visibility, and the road surface is icy with snow piled along the sides.","sunny day with clear visibility, but the road is dry and free of snow or slush.",Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,"A signalized suburban intersection with multiple lanes, surrounded by buildings and snowbanks.","snowy urban street with a single lane and no traffic signals, lined with parked cars and low-rise buildings.","multi-lane highway intersection with overhead signs and minimal snow accumulation, surrounded by commercial buildings.",What is the configuration of the roadway where the accident occurs?,Road Configuration,"A four-way intersection controlled by traffic lights, with plenty vehcles passing though",two-way intersection with stop signs and moderate traffic flow,roundabout with multiple entry points and limited vehicle movement,How would you classify the type of collision shown in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the bus strikes the side of the turning sedan.","rear-end collision, where the bus strikes the back of the sedan as it moves forward through the intersection.","head-on collision, where the front of the bus and the front of the sedan impact each other directly at the crossroads.",What was the primary and most direct cause of this accident?,Accident Cause,The bus driver failed to yield the right-of-way to the oncoming straight-travelling sedan,"The sedan driver suddenly accelerated without signaling, causing the collision",The bus was traveling at an excessive speed for the road conditions,Which specific action by the sedan driver would have most effectively prevented this collision?,Accident Prevention,The bus waits outside until the oncoming sedan had completely passed before getting into the intersection,The sedan driver should have slowed down and yielded to the bus entering the intersection from the side,The sedan driver could have turned left earlier to avoid blocking the path of the oncoming bus
