video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q1_ans_wrong4,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q2_ans_wrong4,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q3_ans_wrong4,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q4_ans_wrong4,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q5_ans_wrong4,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3,q6_ans_wrong4
000003,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and a dry road surface.,Daytime with light cloud cover and a wet road surface,Evening with clear skies and a dry road surface,Daytime with clear skies but a wet road surface due to recent rain,Low visibility conditions caused by fog during early morning hours,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban area with roadside buildings and some parked vehicles.,rural road with open fields and no visible buildings,highway with multiple lanes and high-speed traffic,An urban area with roadside buildings but no parked vehicles,residential neighborhood with low-speed limits and many pedestrians,What is the configuration of the road shown in the video?,Road Configuration,A multi-lane road with at least two lanes in one direction and no physical median.,two-lane road with a physical median separating opposing traffic directions,single-lane road with no designated lanes and shared traffic flow in both directions,multi-lane road with at least two lanes in each direction and a painted center line,divided highway with a concrete barrier between opposing traffic flows,What type of collision occurs between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, where the front of one car hits the side of another.","rear-end collision, where one vehicle strikes the back of another from behind.","sideswipe collision, where the vehicles slide past each other along their side panels.","head-on collision, where the fronts of both vehicles impact each other directly.","rollover collision, where one or both vehicles tip over and land on their side or roof.",What was the primary cause of this accident?,Accident Cause,The silver hatchback made an unsafe turn across a lane of traffic without yielding.,The silver hatchback was hit by another vehicle while making a left turn.,The driver of the silver hatchback failed to notice the approaching car due to distracted driving.,The accident occurred because the silver hatchback entered the intersection without signaling its intent to turn.,"The vehicle in the opposite lane accelerated unexpectedly, causing the silver hatchback to swerve and collide.",By which means could the collision be prevented?,Accident Prevention,The silver car wait for the video car to pass before starting the maneuver.,The silver car should accelerate quickly to avoid blocking the path of the video car.,The video car could have stopped suddenly to prevent the silver car from entering the intersection.,"The silver car should wait for the video car to pass, but only if the traffic light is red.",The driver of the video car should have signaled earlier to indicate their intention to turn.
000018,"Based on the video footage, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a dry road surface.,Daytime with clear skies and a wet road surface.,Nighttime with overcast skies and a dry road surface.,Daytime with overcast skies and a wet road surface.,Early morning with foggy conditions and reduced visibility.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban main road.,residential street with low traffic volume and parked cars along the sides.,rural highway with minimal buildings and open surroundings.,multi-lane urban road with tram tracks and moderate traffic flow.,busy commercial district with frequent pedestrian crossings and heavy vehicle congestion.,What is a distinct feature of the road's layout where the accident occurs?,Road Configuration,The road is straight and incorporates tram tracks running along the center.,The road has a curved alignment with tram tracks positioned on the right side.,The presence of tram tracks caused the accident due to reduced lane width.,"The road is straight and features tram tracks, but they are located on the left edge.","The road includes tram tracks running along the center, but it has multiple lanes for vehicles.",How can the collision shown in the video be most accurately classified?,Accident Type,A sideswipe collision caused by one vehicle improperly changing lanes.,rear-end collision caused by a vehicle failing to maintain a safe following distance.,sideswipe collision resulting from a vehicle suddenly braking in the adjacent lane.,T-bone collision occurring when one vehicle enters the path of another at an intersection.,sideswipe collision due to road conditions causing loss of vehicle control.,What was the primary and direct cause of the collision?,Accident Cause,The dark car executed a sudden and unsignaled lane change into the POV car's lane.,The POV car failed to maintain a safe following distance behind the vehicle ahead.,The collision occurred because the dark car was forced into the POV car's lane due to sudden braking by another vehicle.,"The dark car changed lanes without signaling, but the POV car was already in the process of turning left.","The accident happened when the POV car accelerated unexpectedly, causing the dark car to swerve to avoid a collision.",Which action would have been the most effective measure to prevent this accident?,Accident Prevention,"The black car should properly check their mirrors and blind spot, and wait for the video car to pass before moving over.",The video car should have slowed down to allow the black car to complete its lane change safely.,The black car should have moved over quickly to avoid blocking traffic behind it.,"The black car should have checked their mirrors and blind spot, but only if the video car was not in motion.",The video car should have signaled earlier to indicate its intention to pass the black car.
000023,What are the weather and road surface conditions at the time of the incident?,Weather & Light,It is daytime with cloudy skies and a dry road surface.,It is daytime with clear skies and a wet road surface.,It is nighttime with cloudy skies and a dry road surface.,It is daytime with cloudy skies and a wet road surface.,It is daytime with partly sunny conditions and a dry road surface.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"A multi-lane highway with moderate traffic, including passenger cars and a large truck.","multi-lane urban road with heavy traffic, including buses and motorcycles",two-lane highway with light traffic and no commercial vehicles,busy intersection with multiple lanes of traffic merging from different directions,rural roadway with moderate traffic and frequent pedestrian crossings,"Based on the video, what is the configuration of the road where the accident happens?",Road Configuration,"A straight, multi-lane, one-way road with white dashed lines separating the lanes.","curved, two-lane road with solid yellow lines separating traffic in opposite directions.","straight, multi-lane road with no visible lane markings and vehicles traveling in both directions.","divided highway with multiple lanes and white dashed lines, but traffic moving in both directions.",narrow urban street with a single lane for each direction and stop signs at intersections.,What type of collision occurred?,Accident Type,A sideswipe collision resulting from an improper lane change.,rear-end collision caused by sudden braking in heavy traffic.,sideswipe collision due to a vehicle drifting into the adjacent lane.,T-bone collision resulting from an improper lane change.,side-impact collision initiated by a driver failing to yield during a merge.,,,,,,,,By which means could the collision be prevented?,Accident Prevention,"The black car check their mirrors and blind spot, signaling their intention, and then changing lanes gradually and safely.",The red car should have accelerated quickly to avoid being hit by the black car.,The black car could have prevented the collision by not checking their mirrors if they were confident in their lane change.,"The driver of the black car should have signaled and checked mirrors, but only if the road was completely clear before moving.",The truck should have slowed down earlier to give the black car more time to react and adjust its speed.
000031,"Based on the video, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"Daytime, overcast, with wet roads and some snow on the roadside.","Daytime, clear skies, with dry roads and no snow visible on the roadside.","Nighttime, overcast, with wet roads and snow accumulating on the sides of the road.","Daytime, sunny, with wet roads and some snow on the roadside.","Daytime, overcast, with dry roads and no snow present along the roadway.",In what type of traffic environment does the collision occur?,Traffic Environment,On a multi-lane urban main road surrounded by high-rise buildings.,On a two-lane residential street with low-rise apartment buildings.,In a parking lot adjacent to a commercial shopping center.,On a multi-lane urban road with snow-covered sidewalks and pedestrian crossings.,At an intersection in a suburban area with moderate traffic flow.,What specific road feature is the gold minivan maneuvering from just before the crash?,Road Configuration,An opening in the central median strip designed for U-turns or left turns.,designated left-turn lane marked with directional arrows on the roadway.,pedestrian crossing area located near the central median strip.,gap in the curb designed for vehicles to enter or exit a side street.,traffic island used to separate opposing lanes of traffic.,"Which of the following best describes the type of collision that occurs?""",Accident Type,"A rear-end collision, where the POV car hit the back of the white minivan.","side-swipe collision, where the POV car scraped the side of the white minivan.","T-bone collision, where the white minivan struck the side of the POV car.","rear-end collision, where the white minivan hit the back of the POV car.","frontal collision, where both vehicles approached each other head-on.",What is the primary cause of this accident?,Accident Cause,"The white minivan made a sudden stop, making it impossible for the POV car's driver to react.","The white minivan turned left abruptly, causing the POV car to collide with it.","The POV car was traveling too fast, leading to a loss of control and the collision.",The accident occurred because the white minivan stopped suddenly after the POV car had already begun to brake.,"The driver of the POV car failed to maintain a safe following distance, resulting in the crash.",What crucial action would have most likely prevented this collision?,Accident Prevention,The minivan stops mildly with sufficient observation,The minivan accelerates quickly to avoid the pedestrian crossing,The driver of the minivan fails to check blind spots before merging,The minivan maintains a steady speed without adjusting for traffic conditions,The minivan turns abruptly to the right while approaching the intersection
000033,"Based on the video, which statement best describes the weather and lighting conditions at the time of the incident?",Weather & Light,"It is a clear, sunny day, with strong sun glare potentially affecting the drivers' vision.","It is a cloudy day with diffused lighting, reducing glare and improving visibility.","The strong sun glare is caused by the accident, making it difficult to see other vehicles.","It is a sunny day with some haze, but the sunlight does not significantly affect drivers' vision.","The weather is clear, but the low sun angle creates shadows that obscure parts of the road.",Which of the following best characterizes the traffic environment shown in the video?,Traffic Environment,A busy urban expressway or elevated highway with multiple lanes of traffic.,multi-lane urban road with moderate traffic and visible side streets.,high-speed rural highway with minimal traffic and open surroundings.,"An elevated highway with multiple lanes, but primarily featuring light traffic and no visible city infrastructure.",busy city street with frequent intersections and pedestrian crossings.,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, one-way highway with traffic flowing in the same direction.",two-way road with traffic flowing in opposite directions on separate lanes.,multi-lane highway with vehicles traveling in both directions across a central divider.,single-lane road with light traffic and no visible lane markings.,divided highway where traffic flows in the same direction but with a median barrier separating opposing traffic.,What type of collision occurs between the cars?,Accident Type,A multi-car sideswipe/lane-change collision where the dark sedan strikes the side of the white sedan while changing lanes.,rear-end collision where the white sedan strikes the back of the dark sedan due to sudden braking.,T-bone collision caused by the white sedan turning left into the path of the dark sedan.,"sideswipe collision involving multiple vehicles, but initiated by the white sedan changing lanes too quickly.",head-on collision between two cars traveling in opposite directions on a divided highway.,What was the primary cause of this accident?,Accident Cause,"The sudden stop of the front car resulted in the dodge of the white car, thw white car hit with another car on side when avoiding","The white car swerved to avoid a collision, but hit the vehicle on the side due to excessive speed",The sudden stop of the front car caused the white car to collide directly from behind,The accident occurred because the white car failed to maintain a safe distance and struck the car in front,The driver of the white car was distracted by a phone call and lost control during the maneuver,What critical action could have most effectively prevented this collision?,Accident Prevention,The driver of the light-color car ensures the target lane is clear by checking mirrors and blind spots before initiating the lane change.,The driver of the dark-color car maintains a safe following distance to avoid sudden braking.,The light-color car should have signaled earlier to alert surrounding vehicles of its intent to change lanes.,The driver of the light-color car checks mirrors but fails to verify blind spots before moving into the adjacent lane.,The collision could have been avoided if the driver of the dark-color car had accelerated to prevent the lane change.
000039,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime with an overcast sky and good visibility, with snow accumulated on the roadside.","Daytime with clear skies and bright sunlight, with no visible snow on the road.","Nighttime with low visibility due to heavy fog, despite snow present on the roadside.","Daytime with partial cloud cover and moderate visibility, with wet pavement but no accumulated snow.","Early morning with dim lighting and overcast conditions, and snow covering the entire roadway.",How would you describe the traffic environment where the collision occurs?,Traffic Environment,An urban multi-lane main road with commercial and residential buildings alongside.,residential street with narrow lanes and parked cars on both sides,busy intersection in a commercial district with multiple traffic signals,two-lane road surrounded by industrial buildings and warehouses,suburban roadway with low traffic density and no visible buildings nearby,,,,,,,,Which of the following best describes the type of collision that occurs in the video?,Accident Type,A rear-end collision of POV car and a slowingpulling-out vehicle.,side-swipe collision between the POV car and a vehicle merging from the right,T-bone collision involving the POV car and a stationary vehicle at an intersection,frontal collision where the POV car hits a vehicle that suddenly stops in front of it,rear-end collision caused by the POV car failing to stop in time for a vehicle ahead,What was the primary cause of this accident?,Accident Cause,The driver of the silver SUV failed to yield the right-of-way when entering the travel lane from the roadside.,The silver SUV was involved in a sideswipe collision due to poor road conditions.,The driver of the silver SUV lost control of the vehicle after braking suddenly.,"The accident occurred because the silver SUV entered the lane too quickly, causing the other vehicle to swerve.",The driver of the silver SUV failed to check for oncoming traffic before merging into the travel lane.,What crucial action should have taken to prevent this collision?,Accident Prevention,Thoroughly checked mirrors and blind spots for approaching vehicles and yielded the right-of-way until the lane was clear.,Maintained a safe following distance and avoided sudden braking to prevent rear-end collisions.,Accelerated quickly to merge into the lane before other vehicles could react.,Used turn signals consistently and checked mirrors only briefly before changing lanes.,Ensured the vehicle was properly maintained and brakes were functioning correctly before driving.
000048,"Based on the visual evidence, what are the prevailing weather and light conditions at the time of the incident?",Weather & Light,"Daytime, with overcast skies, active or recent snowfall, and a wet, snow-covered road.","Daytime, with clear skies and dry pavement, indicating fair weather conditions.","Nighttime, with heavy snowfall reducing visibility and creating slippery road surfaces.","Daytime, with overcast skies and light snowfall, but the road appears dry and free of ice.","Early morning, with foggy conditions and recent snowfall, resulting in poor visibility and wet roads.",How would you describe the traffic environment where the collision occurs?,Traffic Environment,"An urban street with vehicles parked on both sides, significantly narrowing the travel lane.",narrow residential road with parked vehicles on one side and a sidewalk on the other,wide urban avenue with minimal parking and clear lane markings,An intersection with heavy traffic and multiple turning vehicles,"snowy two-lane street with vehicles parked on both sides, but ample space for passing",What is the configuration of the road at the accident location?,Road Configuration,"A two-way street, likely with one travel lane in each direction, where markings are obscured by snow.","one-way street with multiple lanes, where snow has accumulated on the sides but road markings are clearly visible.","two-lane road with traffic flowing in both directions, but the center line is clearly marked and not obscured by snow.","divided highway with a median barrier separating opposing traffic, where snow covers the shoulders but lane markings remain visible.","narrow residential street with parked cars on both sides, where only one travel lane is available in each direction due to snow buildup.",What was the primary and direct cause of this collision?,Accident Type,A rear-end collision occurs when a parked vehicle pulls out unsafely into the path of a moving vehicle.,side-swipe collision occurs when a vehicle moving in the same direction cuts across into another vehicle's lane.,"The moving vehicle failed to maintain a safe distance, leading to the impact with the parked car.","The collision happened because the parked vehicle was blocking the road, forcing the moving vehicle to swerve.",rear-end collision occurs when a moving vehicle fails to stop in time and hits the vehicle ahead.,What was the primary and direct cause of this collision?,Accident Cause,The driver of the white SUV failed to yield the right-of-way when moving from a parked position into the traffic lane.,The driver of the white SUV was distracted by a mobile phone while merging into traffic.,The collision occurred because the vehicle in front suddenly braked without warning.,The white SUV entered the lane after checking for oncoming traffic but failed to notice the approaching car.,The driver of the white SUV attempted to park but did not signal before moving into the lane.,What critical action would have most likely prevented this accident?,Accident Prevention,"The white car waits for the ego-vehicle to pass before attempting to enter the lane.""",The white car accelerates quickly to merge into the lane before the ego-vehicle arrives.,The ego-vehicle should have slowed down to allow the white car to enter the lane safely.,The white car checks for oncoming traffic but proceeds without yielding to the ego-vehicle.,The driver of the white car assumes the ego-vehicle will yield and begins merging immediately.
000059,"Based on the video, which option best describes the weather and road surface conditions?",Weather & Light,"Based on the video, which option best describes the weather and road surface conditions?",The weather is clear and sunny with dry pavement conditions.,"The road surface is icy due to recent rainfall, and the sky is overcast.","There is light snowfall, but the road is mostly cleared and wet.","The visibility is reduced by fog, and the road is covered in slush.",What best describes the traffic environment where the collision takes place?,Traffic Environment,An urban or suburban road with roadside parking and a marked pedestrian crosswalk.,rural highway with no visible pedestrian crossings or roadside parking.,busy intersection in a commercial district with traffic signals and multiple lanes.,An urban road with roadside parking but no marked pedestrian crosswalks.,snowy residential street with parked cars and pedestrians crossing without a designated crosswalk.,What is the configuration of the road shown in the video?,Road Configuration,A two-way road with one lane in each direction.,one-way road with traffic moving in a single direction.,two-way road with two lanes in each direction.,road with a central divider separating opposing traffic flows.,shared road where vehicles travel in both directions but share the same lane.,What type of accident occurs in the video?,Accident Type,A rear-end collision.,side-swipe collision between two vehicles in adjacent lanes.,"The vehicle ahead suddenly stops, causing a rear-end collision.",pedestrian crosses the road and is hit by a moving car.,"The driver loses control on icy roads, resulting in a skid and crash.",What was the primary cause of this rear-end collision?,Accident Cause,The camera vehicle failed to maintain a safe following distance for the icy road conditions.,"The lead vehicle suddenly braked without warning, causing the collision.",The rear-end collision resulted in the camera vehicle losing control on the icy road.,The camera vehicle maintained a safe distance but failed to react in time due to reduced traction.,The driver of the lead vehicle was distracted by pedestrians crossing the street.,What is the most effective action could have taken to prevent this crash?,Accident Prevention,"The POV car's driver increases the following distance from the vehicle ahead, considering the icy road and upcoming crosswalk.",The vehicle ahead should have reduced speed earlier to avoid sudden braking on the icy road.,The POV car's driver could have prevented the crash by applying brakes more gradually after the vehicle ahead stopped.,The driver of the POV car should have maintained a safe distance and also checked for pedestrians crossing at the crosswalk.,The crash could have been avoided if the pedestrian had waited until the traffic cleared before stepping onto the road.
000066,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,"Clear sky with bright, sunny daylight",Overcast sky with diffused daylight and light cloud cover,Bright sunlight but with heavy fog reducing visibility,Partly cloudy with intermittent sun and shadows on the road,Clear sky with dim lighting due to early morning conditions,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,"An urban main road with multiple lanes, large buildings, and pedestrian crosswalks.","suburban road with low traffic volume, residential houses, and no visible crosswalks.","rural highway with open fields, minimal buildings, and no pedestrian infrastructure.","An urban street with multiple lanes and large buildings, but without any marked pedestrian crossings.","city intersection with traffic lights and commercial buildings, but featuring only a single lane in each direction.",What is the configuration of the road where the incident took place?,Road Configuration,A signalized cross-intersection on a multi-lane road divided by a median barrier.Few vehicles were on the road.,"multi-lane road with a median barrier but no traffic signals at the intersection, and moderate vehicle presence.","signalized cross-intersection on a two-lane road without a median barrier, with heavy traffic flow.","divided highway with multiple lanes and traffic signals, where the incident occurred due to sudden braking by the lead vehicle.","single-lane road with no median separation and no traffic control devices, surrounded by urban buildings.",What type of collision occurred between the two vehicles?,Accident Type,"A T-bone (side-impact) collision, causing the ego-vehicle to roll over.","rear-end collision occurred, causing the ego-vehicle to lose control and roll over.",The ego-vehicle rolled over due to a sudden loss of traction on the road surface.,"side-impact collision happened, but the ego-vehicle did not roll over.",The collision was a head-on impact that led to the vehicle tipping over.,What was the primary cause of this accident?,Accident Cause,The other vehicle entered the intersection from the left and failed to yield the right-of-way.,The vehicle was traveling at a high speed and could not stop in time.,The driver failed to notice the traffic signal changing to red.,"The other vehicle turned right without signaling, causing the collision.",The driver did not maintain a safe following distance from the vehicle ahead.,Which action would have been most effective in preventing this collision?,Accident Prevention,The car rushed from the left side obeies the traffic signal or stop sign and yielding to traffic with the right-of-way.,The car should have slowed down before entering the intersection to avoid sudden maneuvers.,"The driver failed to maintain a safe distance from the vehicle ahead, leading to the collision.",The pedestrian crossing the street without looking could have prevented the accident if they had waited for the signal.,The vehicle turning right should have yielded to oncoming traffic to avoid the impact.
000074,"Based on the visual evidence, what are the prevailing weather and road conditions at the time of the incident?",Weather & Light,"A clear day with good visibility, but there is significant snow on the roadsides and the pavement is wet/slushy.","partly cloudy day with moderate visibility, and the roads are dry but surrounded by snowbanks.","The pavement is icy due to recent snowfall, and the sky is overcast with poor visibility.","It is a sunny day with clear skies, and while there is snow on the roadside, the road surface is completely dry.","The weather is cold and snowy with ongoing precipitation, and the road is covered in fresh snow and slush.",Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,"A signalized suburban intersection with multiple lanes, surrounded by buildings and snowbanks.",multi-lane urban intersection with traffic signals and snow-covered sidewalks,rural crossroad with no traffic lights and open fields on both sides,signalized intersection in a commercial area with snowbanks and multiple lanes,"suburban roadway with stop signs, light traffic, and scattered buildings",What is the configuration of the roadway where the accident occurs?,Road Configuration,"A four-way intersection controlled by traffic lights, with plenty vehcles passing though",T-shaped intersection with stop signs and moderate traffic flow,roundabout with yield signs and light vehicle movement,"four-way intersection controlled by stop signs, with few vehicles passing through",two-lane road with no traffic control devices and heavy snow accumulation on the sides,How would you classify the type of collision shown in the video?,Accident Type,"A side-impact (T-bone) collision, where the front of the bus strikes the side of the turning sedan.","rear-end collision, where the bus strikes the back of the sedan from behind.","head-on collision, where the front of the bus and the front of the sedan impact each other directly.","side-impact collision, where the side of the bus hits the front of the turning sedan.","T-bone collision, where the sedan strikes the side of the stationary bus.",What was the primary and most direct cause of this accident?,Accident Cause,The bus driver failed to yield the right-of-way to the oncoming straight-travelling sedan,The sedan driver failed to stop at the yield sign before entering the intersection,The bus was traveling at an excessive speed for the road conditions,The collision occurred because the sedan suddenly accelerated into the bus's path,"The traffic light was malfunctioning, causing confusion among drivers",Which specific action by the sedan driver would have most effectively prevented this collision?,Accident Prevention,The bus waits outside until the oncoming sedan had completely passed before getting into the intersection,The sedan driver should have accelerated quickly to clear the intersection before the bus entered,The bus would have avoided the collision if the sedan had stopped at the crosswalk line,The sedan driver could have prevented the crash by turning right instead of going straight through the intersection,The sedan should have yielded to the bus since it was already in the intersection
