scheme_id,complexity_threshold,dynamic_threshold,video_count,retention_rate,avg_dynamic,avg_complexity,dynamic_improvement,complexity_improvement
1,6,0.7000,200,13.3333,0.8457,7.5250,26.6314,64.2057
2,7,0.5500,194,12.9333,0.7766,8.3351,16.2799,81.8821
3,7,0.5000,207,13.8000,0.7607,8.2754,13.8945,80.5796
4,5,0.8000,182,12.1333,0.9112,6.7088,36.4314,46.3949
5,7,0.6000,176,11.7333,0.7979,8.2898,19.4748,80.8941
6,5,0.7500,239,15.9333,0.8781,6.7490,31.4857,47.2713
7,6,0.6500,239,15.9333,0.8179,7.5314,22.4704,64.3449
8,6,0.7500,161,10.7333,0.8747,7.5963,30.9634,65.7610
9,7,0.6500,159,10.6000,0.8166,8.3019,22.2727,81.1584
10,4,0.8000,242,16.1333,0.9162,6.0372,37.1910,31.7397
11,4,0.8500,158,10.5333,0.9654,6.0570,44.5528,32.1711
12,6,0.6000,266,17.7333,0.7984,7.5150,19.5450,63.9883
13,6,0.5500,290,19.3333,0.7796,7.5621,16.7303,65.0146
14,5,0.7000,296,19.7333,0.8486,6.7061,27.0677,46.3358
15,6,0.5000,310,20.6667,0.7634,7.5194,14.2982,64.0825
