video_name,accident_frame,scene_complexity,dynamic_change,window_length
000156.mp4,33,6,1.4541015625,47
001312.mp4,34,6,1.1591796875,46
001181.mp4,42,7,1.1533203125,38
000744.mp4,30,7,1.140625,50
001231.mp4,41,7,1.13671875,39
000840.mp4,41,6,1.1181640625,39
000733.mp4,30,6,1.1142578125,50
001162.mp4,30,8,1.0986328125,50
000927.mp4,30,6,1.078125,50
000491.mp4,31,6,1.0634765625,49
000811.mp4,30,13,1.048828125,50
001282.mp4,40,6,1.0361328125,40
000474.mp4,41,6,1.03515625,39
000835.mp4,32,10,1.0185546875,48
001001.mp4,48,9,1.0166015625,32
000919.mp4,32,8,1.0107421875,48
001237.mp4,30,8,1.0068359375,50
001349.mp4,33,9,1.005859375,47
000946.mp4,41,6,1.005859375,39
001234.mp4,40,7,1.005859375,40
000469.mp4,33,8,0.99951171875,47
000838.mp4,31,13,0.9921875,49
000804.mp4,30,7,0.98779296875,50
000891.mp4,30,8,0.978515625,50
001275.mp4,30,9,0.9765625,50
001342.mp4,42,8,0.9765625,38
000655.mp4,47,6,0.9736328125,33
001308.mp4,31,7,0.97119140625,49
001406.mp4,36,10,0.96728515625,44
000166.mp4,30,7,0.9560546875,50
001441.mp4,31,8,0.955078125,49
000639.mp4,32,11,0.95458984375,48
000729.mp4,35,10,0.9482421875,45
000440.mp4,30,7,0.94384765625,50
000715.mp4,39,14,0.9423828125,41
000432.mp4,43,6,0.9384765625,37
000360.mp4,39,7,0.9345703125,41
000177.mp4,30,13,0.93017578125,50
000925.mp4,31,10,0.9267578125,49
001127.mp4,30,8,0.9267578125,50
000371.mp4,36,6,0.92236328125,44
001345.mp4,32,7,0.92138671875,48
000066.mp4,30,6,0.9208984375,50
000918.mp4,34,6,0.91943359375,46
000339.mp4,38,10,0.91455078125,42
001283.mp4,44,6,0.9091796875,36
001337.mp4,32,8,0.90771484375,48
000968.mp4,32,8,0.90234375,48
001309.mp4,36,7,0.90087890625,44
001126.mp4,36,6,0.89990234375,44
001303.mp4,34,6,0.8974609375,46
000466.mp4,40,7,0.89697265625,40
000805.mp4,30,6,0.89453125,50
000770.mp4,33,8,0.89404296875,47
001394.mp4,33,8,0.89306640625,47
000343.mp4,36,8,0.892578125,44
000818.mp4,36,6,0.892578125,44
000969.mp4,32,7,0.8876953125,48
000728.mp4,32,7,0.88720703125,48
000234.mp4,31,7,0.88427734375,49
000306.mp4,34,9,0.8798828125,46
000374.mp4,47,6,0.8798828125,33
001455.mp4,35,6,0.8779296875,45
000276.mp4,30,6,0.87646484375,50
000879.mp4,30,6,0.8740234375,50
001073.mp4,39,10,0.873046875,41
000198.mp4,30,9,0.8720703125,50
001336.mp4,33,6,0.8701171875,47
000851.mp4,42,8,0.86865234375,38
000195.mp4,30,9,0.861328125,50
001242.mp4,38,6,0.8603515625,42
000695.mp4,39,8,0.85986328125,41
001016.mp4,38,6,0.859375,42
001482.mp4,38,8,0.85693359375,42
000988.mp4,36,7,0.8544921875,44
000062.mp4,43,9,0.8525390625,37
000815.mp4,42,6,0.8505859375,38
000618.mp4,32,6,0.85009765625,48
001359.mp4,42,7,0.84912109375,38
000148.mp4,32,6,0.84912109375,48
001316.mp4,38,8,0.8486328125,42
000614.mp4,32,6,0.84716796875,48
000633.mp4,45,11,0.8447265625,35
001301.mp4,31,9,0.8427734375,49
000255.mp4,35,9,0.8427734375,45
000878.mp4,34,8,0.84228515625,46
001390.mp4,30,6,0.84033203125,50
000914.mp4,30,7,0.83984375,50
000926.mp4,30,7,0.8388671875,50
001363.mp4,33,6,0.83642578125,47
000250.mp4,35,7,0.830078125,45
000427.mp4,41,7,0.830078125,39
000134.mp4,32,7,0.828125,48
001041.mp4,32,8,0.828125,48
000185.mp4,30,8,0.826171875,50
001370.mp4,30,8,0.82470703125,50
000167.mp4,30,7,0.822265625,50
001367.mp4,31,6,0.8203125,49
000722.mp4,30,7,0.81982421875,50
000843.mp4,32,7,0.8193359375,48
000572.mp4,34,10,0.8193359375,46
000078.mp4,30,6,0.81884765625,50
000578.mp4,36,7,0.8173828125,44
001024.mp4,35,9,0.8173828125,45
000792.mp4,34,11,0.81640625,46
000699.mp4,34,7,0.81591796875,46
000978.mp4,45,6,0.8154296875,35
001413.mp4,39,7,0.8154296875,41
000465.mp4,30,8,0.81494140625,50
000753.mp4,47,6,0.81494140625,33
000600.mp4,46,8,0.81396484375,34
001168.mp4,41,7,0.81005859375,39
000726.mp4,40,7,0.806640625,40
000278.mp4,37,8,0.8056640625,43
000580.mp4,43,9,0.8037109375,37
000529.mp4,36,6,0.8037109375,44
001054.mp4,38,7,0.80322265625,42
000982.mp4,33,8,0.80322265625,47
000854.mp4,35,8,0.80322265625,45
000913.mp4,32,8,0.802734375,48
000171.mp4,30,6,0.80078125,50
000033.mp4,33,7,0.798828125,47
000353.mp4,31,8,0.796875,49
000243.mp4,31,6,0.79150390625,49
000358.mp4,37,14,0.79150390625,43
000349.mp4,37,9,0.787109375,43
000775.mp4,38,6,0.787109375,42
000414.mp4,32,10,0.78662109375,48
000487.mp4,39,6,0.7861328125,41
001290.mp4,30,6,0.78564453125,50
000627.mp4,37,6,0.78515625,43
001106.mp4,46,6,0.78466796875,34
000475.mp4,42,7,0.78369140625,38
001354.mp4,32,7,0.78271484375,48
000246.mp4,30,6,0.7822265625,50
001094.mp4,36,6,0.78076171875,44
001362.mp4,30,10,0.7802734375,50
000249.mp4,30,7,0.77734375,50
001289.mp4,44,6,0.77685546875,36
000901.mp4,30,7,0.775390625,50
000462.mp4,45,7,0.7744140625,35
000986.mp4,43,9,0.7734375,37
000524.mp4,35,7,0.77197265625,45
000205.mp4,30,6,0.76953125,50
000464.mp4,37,7,0.765625,43
000617.mp4,37,7,0.765625,43
000311.mp4,33,9,0.76416015625,47
000363.mp4,33,7,0.7626953125,47
000369.mp4,42,7,0.76220703125,38
000816.mp4,31,6,0.76171875,49
000394.mp4,41,8,0.7607421875,39
000992.mp4,36,10,0.7607421875,44
001049.mp4,37,9,0.76025390625,43
000317.mp4,33,10,0.7587890625,47
000264.mp4,40,9,0.75830078125,40
000416.mp4,31,10,0.75830078125,49
000142.mp4,30,8,0.75732421875,50
001108.mp4,48,7,0.75634765625,32
001454.mp4,37,9,0.75439453125,43
001386.mp4,32,9,0.75390625,48
