# 方案#1 最终筛选结果（共200个视频）
# 阈值：Complexity ≥ 6, Dynamic ≥ 0.7000000000000002
# 生成时间：2026-01-15T22:36:54.406528

  1. 000156.mp4           | Complexity:  6 | Dynamic: 1.4541 | Accident Frame:  33
  2. 001312.mp4           | Complexity:  6 | Dynamic: 1.1592 | Accident Frame:  34
  3. 001181.mp4           | Complexity:  7 | Dynamic: 1.1533 | Accident Frame:  42
  4. 000744.mp4           | Complexity:  7 | Dynamic: 1.1406 | Accident Frame:  30
  5. 001231.mp4           | Complexity:  7 | Dynamic: 1.1367 | Accident Frame:  41
  6. 000840.mp4           | Complexity:  6 | Dynamic: 1.1182 | Accident Frame:  41
  7. 000733.mp4           | Complexity:  6 | Dynamic: 1.1143 | Accident Frame:  30
  8. 001162.mp4           | Complexity:  8 | Dynamic: 1.0986 | Accident Frame:  30
  9. 000927.mp4           | Complexity:  6 | Dynamic: 1.0781 | Accident Frame:  30
 10. 000491.mp4           | Complexity:  6 | Dynamic: 1.0635 | Accident Frame:  31
 11. 000811.mp4           | Complexity: 13 | Dynamic: 1.0488 | Accident Frame:  30
 12. 001282.mp4           | Complexity:  6 | Dynamic: 1.0361 | Accident Frame:  40
 13. 000474.mp4           | Complexity:  6 | Dynamic: 1.0352 | Accident Frame:  41
 14. 000835.mp4           | Complexity: 10 | Dynamic: 1.0186 | Accident Frame:  32
 15. 001001.mp4           | Complexity:  9 | Dynamic: 1.0166 | Accident Frame:  48
 16. 000919.mp4           | Complexity:  8 | Dynamic: 1.0107 | Accident Frame:  32
 17. 001237.mp4           | Complexity:  8 | Dynamic: 1.0068 | Accident Frame:  30
 18. 001349.mp4           | Complexity:  9 | Dynamic: 1.0059 | Accident Frame:  33
 19. 000946.mp4           | Complexity:  6 | Dynamic: 1.0059 | Accident Frame:  41
 20. 001234.mp4           | Complexity:  7 | Dynamic: 1.0059 | Accident Frame:  40
 21. 000469.mp4           | Complexity:  8 | Dynamic: 0.9995 | Accident Frame:  33
 22. 000838.mp4           | Complexity: 13 | Dynamic: 0.9922 | Accident Frame:  31
 23. 000804.mp4           | Complexity:  7 | Dynamic: 0.9878 | Accident Frame:  30
 24. 000891.mp4           | Complexity:  8 | Dynamic: 0.9785 | Accident Frame:  30
 25. 001275.mp4           | Complexity:  9 | Dynamic: 0.9766 | Accident Frame:  30
 26. 001342.mp4           | Complexity:  8 | Dynamic: 0.9766 | Accident Frame:  42
 27. 000655.mp4           | Complexity:  6 | Dynamic: 0.9736 | Accident Frame:  47
 28. 001308.mp4           | Complexity:  7 | Dynamic: 0.9712 | Accident Frame:  31
 29. 001406.mp4           | Complexity: 10 | Dynamic: 0.9673 | Accident Frame:  36
 30. 000166.mp4           | Complexity:  7 | Dynamic: 0.9561 | Accident Frame:  30
 31. 001441.mp4           | Complexity:  8 | Dynamic: 0.9551 | Accident Frame:  31
 32. 000639.mp4           | Complexity: 11 | Dynamic: 0.9546 | Accident Frame:  32
 33. 000729.mp4           | Complexity: 10 | Dynamic: 0.9482 | Accident Frame:  35
 34. 000440.mp4           | Complexity:  7 | Dynamic: 0.9438 | Accident Frame:  30
 35. 000715.mp4           | Complexity: 14 | Dynamic: 0.9424 | Accident Frame:  39
 36. 000432.mp4           | Complexity:  6 | Dynamic: 0.9385 | Accident Frame:  43
 37. 000360.mp4           | Complexity:  7 | Dynamic: 0.9346 | Accident Frame:  39
 38. 000177.mp4           | Complexity: 13 | Dynamic: 0.9302 | Accident Frame:  30
 39. 000925.mp4           | Complexity: 10 | Dynamic: 0.9268 | Accident Frame:  31
 40. 001127.mp4           | Complexity:  8 | Dynamic: 0.9268 | Accident Frame:  30
 41. 000371.mp4           | Complexity:  6 | Dynamic: 0.9224 | Accident Frame:  36
 42. 001345.mp4           | Complexity:  7 | Dynamic: 0.9214 | Accident Frame:  32
 43. 000066.mp4           | Complexity:  6 | Dynamic: 0.9209 | Accident Frame:  30
 44. 000918.mp4           | Complexity:  6 | Dynamic: 0.9194 | Accident Frame:  34
 45. 000339.mp4           | Complexity: 10 | Dynamic: 0.9146 | Accident Frame:  38
 46. 001283.mp4           | Complexity:  6 | Dynamic: 0.9092 | Accident Frame:  44
 47. 001337.mp4           | Complexity:  8 | Dynamic: 0.9077 | Accident Frame:  32
 48. 000968.mp4           | Complexity:  8 | Dynamic: 0.9023 | Accident Frame:  32
 49. 001309.mp4           | Complexity:  7 | Dynamic: 0.9009 | Accident Frame:  36
 50. 001126.mp4           | Complexity:  6 | Dynamic: 0.8999 | Accident Frame:  36
 51. 001303.mp4           | Complexity:  6 | Dynamic: 0.8975 | Accident Frame:  34
 52. 000466.mp4           | Complexity:  7 | Dynamic: 0.8970 | Accident Frame:  40
 53. 000805.mp4           | Complexity:  6 | Dynamic: 0.8945 | Accident Frame:  30
 54. 000770.mp4           | Complexity:  8 | Dynamic: 0.8940 | Accident Frame:  33
 55. 001394.mp4           | Complexity:  8 | Dynamic: 0.8931 | Accident Frame:  33
 56. 000343.mp4           | Complexity:  8 | Dynamic: 0.8926 | Accident Frame:  36
 57. 000818.mp4           | Complexity:  6 | Dynamic: 0.8926 | Accident Frame:  36
 58. 000969.mp4           | Complexity:  7 | Dynamic: 0.8877 | Accident Frame:  32
 59. 000728.mp4           | Complexity:  7 | Dynamic: 0.8872 | Accident Frame:  32
 60. 000234.mp4           | Complexity:  7 | Dynamic: 0.8843 | Accident Frame:  31
 61. 000306.mp4           | Complexity:  9 | Dynamic: 0.8799 | Accident Frame:  34
 62. 000374.mp4           | Complexity:  6 | Dynamic: 0.8799 | Accident Frame:  47
 63. 001455.mp4           | Complexity:  6 | Dynamic: 0.8779 | Accident Frame:  35
 64. 000276.mp4           | Complexity:  6 | Dynamic: 0.8765 | Accident Frame:  30
 65. 000879.mp4           | Complexity:  6 | Dynamic: 0.8740 | Accident Frame:  30
 66. 001073.mp4           | Complexity: 10 | Dynamic: 0.8730 | Accident Frame:  39
 67. 000198.mp4           | Complexity:  9 | Dynamic: 0.8721 | Accident Frame:  30
 68. 001336.mp4           | Complexity:  6 | Dynamic: 0.8701 | Accident Frame:  33
 69. 000851.mp4           | Complexity:  8 | Dynamic: 0.8687 | Accident Frame:  42
 70. 000195.mp4           | Complexity:  9 | Dynamic: 0.8613 | Accident Frame:  30
 71. 001242.mp4           | Complexity:  6 | Dynamic: 0.8604 | Accident Frame:  38
 72. 000695.mp4           | Complexity:  8 | Dynamic: 0.8599 | Accident Frame:  39
 73. 001016.mp4           | Complexity:  6 | Dynamic: 0.8594 | Accident Frame:  38
 74. 001482.mp4           | Complexity:  8 | Dynamic: 0.8569 | Accident Frame:  38
 75. 000988.mp4           | Complexity:  7 | Dynamic: 0.8545 | Accident Frame:  36
 76. 000062.mp4           | Complexity:  9 | Dynamic: 0.8525 | Accident Frame:  43
 77. 000815.mp4           | Complexity:  6 | Dynamic: 0.8506 | Accident Frame:  42
 78. 000618.mp4           | Complexity:  6 | Dynamic: 0.8501 | Accident Frame:  32
 79. 001359.mp4           | Complexity:  7 | Dynamic: 0.8491 | Accident Frame:  42
 80. 000148.mp4           | Complexity:  6 | Dynamic: 0.8491 | Accident Frame:  32
 81. 001316.mp4           | Complexity:  8 | Dynamic: 0.8486 | Accident Frame:  38
 82. 000614.mp4           | Complexity:  6 | Dynamic: 0.8472 | Accident Frame:  32
 83. 000633.mp4           | Complexity: 11 | Dynamic: 0.8447 | Accident Frame:  45
 84. 001301.mp4           | Complexity:  9 | Dynamic: 0.8428 | Accident Frame:  31
 85. 000255.mp4           | Complexity:  9 | Dynamic: 0.8428 | Accident Frame:  35
 86. 000878.mp4           | Complexity:  8 | Dynamic: 0.8423 | Accident Frame:  34
 87. 001390.mp4           | Complexity:  6 | Dynamic: 0.8403 | Accident Frame:  30
 88. 000914.mp4           | Complexity:  7 | Dynamic: 0.8398 | Accident Frame:  30
